#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,
176,CultureLink Settlement Services,14,City-wide,1,67895,,,,,,,,67895,,,,,,,,,,,,2200,
177,Cue6 Theatre Company Inc,20,City-wide,1,2200,,,,,,,,,,,,,,,,,,,,5000,
178,Culchahworks Arts Collective,19,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,31000,
179,Dance Collection Danse,27,City-wide,1,31000,,,,,,,,,,,,,,,,,,,,25000,
180,Dance Immersion Ontario,20,City-wide,1,25000,,,,,,,,,,,,,,,,,,,,10000,
181,Dance Matters Dance Productions,14,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,20000,
182,Dance Ontario Association,20,City-wide,1,20000,,,,,,,,,,,,,,,,,,,,92000,
183,Dancemakers,28,City-wide,1,92000,,,,,,,,,,,,,,,,,,,,55000,
184,DanceWorks,20,City-wide,1,55000,,,,,,,,,,,,,,,,,,,,9000,
185,Dancing with Parkinson's Inc. ,27,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,,
186,Davenport Perth Neighbourhood Centre,17,Area services,1,84960,,,,,,,,84960,,,,,,,,,,,,5000,
187,Dead Roads Collective ,13,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
188,Delta Family Resource Centre,7,Area Services,3,151945,35000,,,,10000,,,106945,,,,,,,,,,,,9000,
189,Dia de los Muertos Collective,21,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,45000,
190,Diaspora Dialogues Charitable Society,20,City-wide,1,45000,,,,,,,,,,,,,,,,,,,,3000,
191,Directors Lab North,30,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
192,Distress Centres,27,City-wide,1,111605,,,,,,,,111605,,,,,,,,,,,,,
193,Dixon Community Services,2,Local,1,53150,,,,,,,,53150,,,,,,,,,,,,,
194,Dixon Hall,28,Local,1,345350,,,,,,,,345350,,,,,,,,,,,,20000,
195,Dixon Hall Music School,28,Local,1,20000,,,,,,,,,,,,,,,,,,,,,
196,Doorsteps Neighbourhood Services,7,Area Services,1,125350,,,,,,,,125350,,,,,,,,,,,,51000,
197,Doris McCarthy Gallery,44,City-wide,1,51000,,,,,,,,,,,,,,,,,,40000,,,
198,Dorset Park Neighbourhood Association,40,Area Services,1,40000,,,,,,,,,,,,,,,,,,,,,
199,Dorset Park Neighbourhood Transition Group,37,Area services,1,75000,,,,,,,75000,,,,,,,,,,,,,,
200,Downtown Yonge BIA,27,Area services,1,9000,,,,,,,,,,,9000,,,,,,,,,,
201,Dovercourt Boys' and Girls' Club,18,Local,1,52400,,,,,,,,52400,,,,,,,,,,,,15000,
202,Dreamwalker Dance Co.,28,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,19000,
203,Drum Artz Canada,17,Local,1,19000,,,,,,,,,,,,,,,,,,,,,
204,Drum Artz Community Centre,17,City-wide,1,39570,,,,,,,,,39570,,,,,,,,,,,41000,
205,Dusk Dances,30,Local,1,41000,,,,,,,,,,,,,,,,,,,,6500,
206,e-fagia visual and media art organization,14,City-wide,1,6500,,,,,,,,,,,,,,,,,,,,2500,
207,Earwitness Productions,19,Local,1,2500,,,,,,,,,,,,,,,110000,,,,,,
208,East End Arts,29,Area Services,2,110000,,,,,,,,,,,,,,,,,,,,,
209,East Metro Youth Services,38,Area Services,1,63240,,,,,,,,63240,,,,,,,,,,,,5600,
210,East Scarborough Boys & Girls Club,43,Area Services,3,185250,,,,,,,,166150,,,13500,,,,,,,,,,
211,East Scarborough Storefront / Tides Canada Initiatives,43,Area services,3,155570,,,36500,,,35000,,84070,,,,,82828,,,,,,,,
212,East York East Toronto Family Resources Organization - Housing Help Centre,30,Area services,2,111068,,,,,,,,28240,,,,,227392,,,,,,,,
213,East York East Toronto Family Resources Organization - Landlord Connect,30,City-wide,1,227392,,,,,,,,,,,,,,,,,,,,,
214,East York Meal on Wheels,26,Local,1,27155,,,,,,,,27155,,,,,,,,,,,,,
215,Eastview Neighbourhood Community Choir,30,Area Services,1,62980,,,,,,,,62980,,,,,,,,,,,,7500,
216,Echo Women's Choir,27,City-wide,1,7500,,,,,,,,,,,,,,,,,,25000,,,
217,Eglinton East-Kennedy Park Community Project,36,Area services,1,25000,,,,,,,,,,,,,,,,,,,,,
218,Eglinton East-Kennedy Park Youth Service Providers Network,36,Area services,1,7000,,,,,7000,,,,,,,,,,,,,,,7000,
219,Eight Fest Small-Gauge Film Festival,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,15000,
220,Eldritch Theatre,30,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,3000,
221,Elle Productions Collective,20,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
222,Elspeth Heyworth Centre for Women,7,Area Services,1,28135,,,,,,,,28135,,,,,,,,,,,,10000,
223,Emerging Young Artists Inc,28,Local,1,10000,,,,,,,,,,,,,,,,,,,,4000,
224,Ensemble Polaris,20,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,,
225,Epilepsy Toronto,28,City-wide,1,40235,,,,,,,,40235,,,,,,,,,,,,,
226,Eritrean Canadian Community Centre,21,City-wide,2,66805,38000,,,,,,,28805,,,,,,,,,,,,23000,
227,Esmeralda Enrique Spanish Dance Company,20,City-wide,2,63000,,,,,,,,,40000,,,,,,,,,,,4750,
228,Etobicoke Centennial Choir,4,Local,1,4750,,,,,,,,,,,,,,,,,,,,6500,
229,Etobicoke Community Concert Band,5,Local,1,6500,,,,,,,,,,,,,,,,,,,,,
230,Etobicoke Historical Society,4,City-wide,1,16000,,,,,,16000,,,,,,,,,,,,,,11000,
231,Etobicoke Philharmonic Orchestra,3,Local,1,11000,,,,,,,,,,,,,,,,,,,,,
232,Etobicoke Services for Seniors,2,Area services,1,49085,,,,,,,,49085,,,,,61311,,,,,,,,
233,Evangel Hall,20,Local,1,61311,,,,,,,,,,,,,,,,,,,,,
234,Everdale - Black Creek Community Farm,8,Area Services,2,56500,40000,,16500,,,,,,,,,,,,,,,,,30000,
235,Expect Theatre,1,Local,1,30000,,,,,,,,,,,,,,,,,,,,7000,
236,Express Arte,8,Local,1,7000,,,,,,,,,,,,,,,,,,,,,
237,Extend-A-Family,16,City-wide,1,23045,,,,,,,,23045,,,,,,,,,,,,7000,
238,Exultate Chamber Singers,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,5000,
239,F-You: The Forgiveness Project,27,Local,1,5000,,,,,,,,,,,,,,,,,,,,158000,
240,Factory Theatre,20,City-wide,1,158000,,,,,,,,,,,,,,,,,,,,24000,
241,FADO Performance Inc.,19,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,,
242,Family Services Toronto,27,City-wide,1,101995,,,,,,,,101995,,,,,,,,,,,,3000,
243,FAWN Chamber Creative,18,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
244,FCJ Refugee Centre,17,City-wide,4,310000,,230000,25000,46000,9000,,,,,,,,,,,,,,,10000,
245,FCJ Youth Network,17,Local,1,10000,,,,,,,,,,,,,,,,,,,,3000,
246,Feast Collective,14,City-wide,1,3000,,,,,,,,,,,,,,10000,,,,,,,
247,FEAT for Childre of Incarcerated Parents,6,City Wide,1,10000,,,,,,,,,,,,,,,,560000,,,,,
248,Festival Management Committee/Toronto Caribbean Carnival-Caribana ,31,City-wide,1,560000,,,,,,,,,,,,,100000,,,,,,,,
249,Fife House,27,City Wide,1,100000,,,,,,,,,,,,,,,,,,,,6000,
250,Film for Artists,19,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,,591670
251,Find Help Toronto,20,City-wide,1,591670,,,,,,,,,,,,,,,,,,,,,
252,Firgrove Community Learning Centre,11,Local,1,8000,,,,,8000,,,,,,,,,,,,,,,,
253,First Portuguese Canadian Cultural Centre of Toronto,17,Area Services,1,13290,,,,,,,,13290,,,,,,,,,,,,,
254,Flemingdon Health Centre,26,Area Services,1,36000,,,36000,,,,,,,,,,,,,,,,,,
255,Flemingdon Urban Fair Committee,26,Area Services,1,9000,,,,,9000,,,,,,,,,,,,,,,,
256,FoodShare Toronto,18,City-wide,2,252510,45000,,,,,,,207510,,,,,,,,,,,,,
257,For You Telecare Family Services Inc. (FUTFS),25,City-wide,1,15060,,,,,,,,15060,,,,,,,,,,,,,
259,For Youth Initiative in Toronto,12,Area Services,1,116260,,,,,,,,116260,,,,,,,,,,,,10000,
260,Franco-fete de la communaute urbaine de Toronto,27,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,7500,
261,Francophoneie En Fete,20,City-wide,1,7500,,,,,,,,,,,,,,,,,,,,5000,
262,Franklin Carmichael Art Group,1,Local,1,5000,,,,,,,,,,,,,,,,,,,,,
262,Franklin Horner Community Centre,6,City-wide,1,28245,,,,,,,,28245,,,,,,,,,,,,,
263,FRESH Collective,20,Area Services,1,40000,,,,40000,,,,,,,,,,,,,15610,,,,
264,Friends of Fort York (Summer Guard),28,City-wide,1,15610,,,,,,,,,,,,,,,,,,,,22000,
266,fu-GEN Theatre Company,28,City-wide,1,22000,,,,,,,,,,,,,,,,,,,,17000,
267,Fujiwara Dance Inventions,20,City-wide,1,17000,,,,,,,,,,,,,,,,,,,,94000,
268,Gallery 44,20,City-wide,1,94000,,,,,,,,,,,,,,,,,,,,,
269,Gallery TPW,18,City-wide,1,12500,,,,,,,,,12500,,,,,,,,,,,,
