#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,
826,York-Eglinton Business Improvement Area,15,City Wide,1,30000,,,,,,30000,,,,,,,,,,,,,,,
827,York-Fairbank Centre For Seniors,15,Area services,1,215365,,,,,,,,215365,,,,,,,,,,,,,
828,Yorkminster Park Meals on Wheels,22,Area services,1,8920,,,,,,,,8920,,,,,,,,,,,,,
829,Yorktown Child and Family Centre,15,Area services,1,34570,,,,,,,,34570,,,,,,,,,,,,321000,
830,Young People's Theatre (Lorraine Kimsa Theatre For Young People),28,City-wide,1,321000,,,,,,,,,,,,,,,,,,30000,,,
831,Youth Arts Action (YAA),15,Area services,1,30000,,,,,,,,,,,,,,,,,,,,,
832,Youth Assisting Youth,23,City-wide,1,54190,,,,,,,,54190,,,,,,,,,,,,,
833,Youthlink,35,Area services,3,81960,,,18000,,10000,,,53960,,,,,,,,,,,,4000,
834,YTB Gallery,20,Local,1,4000,,,,,,,,,,,,,,,,,,,,65000,
835,YYZ Artists Outlet,20,City-wide,1,65000,,,,,,,,,,,,,,,,,,,,,
836,Zata Omm Dance Projects,30,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,15000,
837,Zou Theatre Company,13,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,7000,
